pdf_filename,relevance,relevance_percentage,author,year,title,journal,country,spatial coordinates,distance coast,protected area,number of marine alien species,marine alien species,respondent,sample size,type of sample,survey mode,type of study,single site/multiple site,CVM_elicitation,metrics,year of estimate,u.m. estimate,estimate,description,note,country__evidence,spatial coordinates__evidence,distance coast__evidence,protected area__evidence,number of marine alien species__evidence,marine alien species__evidence,respondent__evidence,sample size__evidence,type of sample__evidence,survey mode__evidence,type of study__evidence,single site/multiple site__evidence,year of estimate__evidence,u.m. estimate__evidence
fmars-12-1631423.pdf,1,85,Marina Chiappi; Yolanda Stranga; Chrysanthi Kalloniati; Konstantinos Tsirintanis; George Tsirtsis; Ernesto Azzurro; Stelios Katsanevakis,2025,"CIMPAL expanded: unraveling the cumulative impacts of invasive alien species, jellyﬁsh blooms, and harmful algal blooms",Frontiers in Marine Science,Italy; Greece,N/A,N/A,0,26,N/A,N/A,N/A,N/A,N/A,Original Research,multiple site,0,N/A,2023,N/A,3,"This study expands the Cumulative IMPacts of invasive ALien species (CIMPAL) index to assess the cumulative impacts of IAS, HABs, and jellyﬁsh blooms, also accounting for interspeciﬁc interactions.",N/A,,,,considered no-take zones of Marine Protected Areas (MPAs) or Fisheries Restricted Areas (FRAs) as the no-fishing conditions,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
ijfs-14-3-13287.pdf,1,85,Alessio Manfredi; Patrizio Lorusso; Annamaria Pandiscia; Elisabetta Bonerba; Edmondo Ceci; Giancarlo Bozzo; Domenico Cristofaro; Valentina Terio,2025,Antibiotic residues and heavy metals in blue crabs (Callinectes sapidus) fished in the Mediterranean Sea: a preliminary study,Italian Journal of Food Safety,Italy,N/A,5000,0,N/A,Callinectes sapidus,N/A,18,blue crab appendage muscle,N/A,preliminary study,multiple site,0,heavy metals and antibiotic residues,2023,mg/kg,0.5,This study assesses heavy metals and antibiotic residues in blue crab samples from various Mediterranean sites.,"Presented at the XXXIII National Conference of the Italian Association of Veterinary Food Hygienists (AIVI), September 2024.",,,5 km offshore,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
jmse-13-00374.pdf,1,85,Marie Borriglione; Sandrine Ruitton; Aurélie Blanfuné; Michèle Perret-Boudouresque; Bastien Thouroude; Marc Verlaque; Charles-François Boudouresque; Thierry Thibaut,2025,Non-Indigenous Species of Macroalgae in French Mediterranean Marine Protected Areas: Distribution and Trends,J. Mar. Sci. Eng.,France,N/A,25000,Marine Protected Areas (MPAs),107,N/A,N/A,N/A,N/A,N/A,Review,Multiple site,0,N/A,2023,N/A,N/A,"This review quantified and characterized French Mediterranean MPAs, analyzing non-indigenous macroalgae distribution based on existing literature and authors’ observations.",N/A,,,mean of range,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
jmse-13-01798-v2.pdf,1,85,Dimitrios K. Moutopoulos; Nikoletta Sidiropoulou; Ioannis Vekris; Nikolaos Doumpas; Ioannis Giovos,2025,Marine Invasive Alien Species Reshape Small-Scale Fisheries: Case Study in Greek Coastal Waters,J. Mar. Sci. Eng.,Greece,N/A,N/A,0,11,Lagocephalus sceleratus; Torquigener flavimaculatus; Parupeneus forsskali; Pterois miles; Fistularia commersonii; Sepioteuthis lessoniana; Sargocentron rubrum; Siganus luridus; Siganus rivulatus; Sphyraena chrysotaenia/flavicauda; Pempheris sp.,professional fishers,70,N/A,semi-structured interviews,case study,multiple site,0,"awareness, recognition rates, perceived environmental and economic impacts, catch frequencies, gear damage, injury incidents, behavioral changes",2023,EUR,600,The study investigates the perceptions and adaptive responses of small-scale fishers to marine invasive alien species in Greek coastal waters.,The study highlights the need for regionally tailored management approaches based on fishers' knowledge.,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
journal.pone.0313429.pdf,1,85,Patricia Prado; Iraida Català; Carles Alcaraz; Maria del Carmen Barberà; Elena Guijarro-Garcı´a; Silvia Falco,2025,"Salinity patterns and local migration determine the isotopic composition of the invasive blue crab, Callinectes sapidus, along the Spanish Mediterranean coast",PLOS ONE,Spain,N/A,25000,0,1,Callinectes sapidus,fisher,N/A,N/A,N/A,N/A,multiple site,0,δ13C and δ15N patterns,2021,N/A,N/A,The study investigates the isotopic composition and dietary habits of the invasive blue crab in various regions of the Spanish Mediterranean.,The study highlights the impact of salinity and local migration on the blue crab's isotopic patterns.,,,mean of range,,,,the demographic profile of the fishers,,,,,,Preliminary test from samples collected in 2021 (first campaign).,
preprints_article_166451_en_1.pdf,1,85,Lorenzo Latini; Giorgio Massaro; Stefania Coppa; Jacopo Giampaoletti; G Andrea de Lucia; Alessia Dinoi; Paolo Magni,2025,"Analysis of the causes and consequences of major concern on biodiversity change in the Gulf of Oristano Area (Sardinia, Italy)",N/A,Italy,"40°03'58.4""N 8°28'29.3""E; 39°40'06.6""N 8°27'33.1""E",N/A,Penisola del Sinis – Isola di Mal di Ventre,N/A,N/A,fisher,N/A,N/A,N/A,N/A,1,0,N/A,2021,N/A,N/A,"This study applies a bow-tie risk analysis framework to identify key drivers, pressures, and consequences associated with species decline and loss, habitat change, and increased competition with non-native species.",N/A,,,,,,,the demographic profile of the fishers,,,,,multiple sites,Preliminary test from samples collected in 2021 (first campaign).,
s10479-025-06759-6.pdf,1,85,Angela Martiradonna; Andrea Caravaggio; Andrea Di Liddo,2025,Cooperation against invasions: multi-agent control of alien species in connected landscapes,Annals of Operations Research,Italy,N/A,N/A,1,N/A,N/A,fisher,N/A,N/A,N/A,choice experiment,1,0,N/A,2021,N/A,N/A,This work presents a dynamic game-theoretic framework for modeling the strategic management of IAS across a network of heterogeneous areas linked by spatial diffusion.,N/A,,,,The regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,,,,Gain and loss of money in a choice experiment.,N/A,Preliminary test from samples collected in 2021 (first campaign).,
s10530-025-03588-3.pdf,1,85,Peter M. Schächinger; Luboš Beran; Gerlien Verhaegen; Rodrigo B. Salvador; Lorenzo G. O. Ravalo; Martin Haase,2025,"Following the snail trail–reconstructing the invasion route and world‑wide distribution of the New Zealand mud snail Potamopyrgus antipodarum (Mollusca, Caenogastropoda)",Biol Invasions,Germany; Czech Republic; Finland; New Zealand,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,N/A,N/A,fisher,148803,biogeographic records,N/A,choice experiment,multiple site,0,invasion speed; geographic expansion,2021,N/A,N/A,"This study compiles biogeographic records of Potamopyrgus antipodarum from 43 countries, analyzing invasion patterns and dynamics.",N/A,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,,,,Gain and loss of money in a choice experiment.,,Preliminary test from samples collected in 2021 (first campaign).,
s10530-025-03589-2.pdf,1,85,Bruno Oliveira; António B. Nogueira; Amílcar Teixeira; Ronaldo Sousa,2025,Subtle ecological effects of the invasive signal crayfish (Pacifastacus leniusculus) on Iberian fish communities,Biological Invasions,Portugal,41°43′47″ to 41°59′24″ N; 6°30′53″ to 7°12′9″ W,N/A,Montesinho Natural Park,N/A,N/A,fisher,2307,fish,field sampling,ecological impact assessment,multiple site,0,"abundance, biomass, richness, diversity",2022,N/A,N/A,The study assessed the ecological effects of the invasive signal crayfish on fish communities in the Montesinho Natural Park.,Ongoing monitoring of signal crayfish populations and their effects on fish communities is essential.,,,,,,,the demographic profile of the fishers,,,,,,,
s10641-025-01731-6.pdf,1,85,Dagmara Błońska; Bartosz Janic; Ali Serhan Tarkan; Marina Piria; Doru Bănăduc; Kristína Slovák Švolíková; Barbora Števove; Jyrki Lappalainen; Kacper Pyrzanowski,2025,Reproductive traits of the invasive round goby (Neogobius melanostomus) along a latitudinal span in Europe,Environ Biol Fish,Türkiye; Croatia; Slovakia; Poland; Finland,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,N/A,N/A,fisher,83,female round gobies,N/A,comparative study,multiple site,0,absolute fecundity; batch fecundity; relative fecundity; oocyte size; gonado-somatic index (GSI); body condition factor,2021,N/A,N/A,"The study investigates reproductive traits of round goby populations across Europe, focusing on fecundity and other reproductive parameters.",N/A,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,,,,,,Preliminary test from samples collected in 2021 (first campaign).,
s10750-022-05116-z.pdf,1,85,Álvaro Alonso; Gonzalo A. Collado; Claudia Gérard; Edward P. Levri; Rodrigo B. Salvador; Pilar Castro‑Díez,2023,"Effects of the invasive aquatic snail Potamopyrgus antipodarum (Gray, 1853) on ecosystem properties and services",Hydrobiologia,Spain; Chile; France; USA; New Zealand,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,N/A,Potamopyrgus antipodarum,fisher,34,N/A,N/A,Review,1,0,N/A,2021,N/A,N/A,This study reviews the impacts of the invasive New Zealand mud snail on ecosystem properties and services.,N/A,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,the same 34 sites sampled to characterize the fish communities,,,,multiple sites,Preliminary test from samples collected in 2021 (first campaign).,
s10750-024-05717-w.pdf,1,85,Francisco Carvalho; Henrique Alves; Cláudia Pascoal; Paulo Castro; Fernando Miranda; Amílcar Teixeira; Fernanda Cássio; Ronaldo Sousa,2025,Invasive dynamics of the signal crayfish Pacifastacus leniusculus in a protected area,Hydrobiologia,Portugal,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,Montesinho Natural Park,N/A,N/A,fisher,34,N/A,N/A,Primary Research Paper,Single site,0,"abundance, size, weight, physical condition, sex ratio, aggressiveness",2021,N/A,N/A,"The study assesses the invasion dynamics of the signal crayfish in the Rabaçal River, focusing on population changes and biological traits over time.",The study highlights the need for management actions to mitigate the impacts of the invasive species.,,Table 2   First record per country including location and reference,,,,,the demographic profile of the fishers,the same 34 sites sampled to characterize the fish communities,,,,,Preliminary test from samples collected in 2021 (first campaign).,
s10750-025-05803-7.pdf,1,85,Serenella Cabiddu; Pierantonio Addis; Francesco Palmas; Antonio Pusceddu; Paolo Solari; Viviana Pasquini,2025,"Feeding behavior and preference of the invasive blue crab (Callinectes sapidus Rathbun, 1896) for Mediterranean native bivalves in mesocosm",Hydrobiologia,Italy,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",5000,Special Protection Area; Wetland of International Importance; Special Area of Conservation,9,Callinectes sapidus; Dyspanopeus sayi; Ruditapes philippinarum; Arcuatula senhousia; Caprella scaura; Naineris setosa; Hydroides dianthus; Hydroides elegans,fisher,34,N/A,N/A,Primary Research Paper,Single site,0,N/A,2021,N/A,N/A,Investigated the feeding behavior and prey preference of the invasive blue crab for different commercially exploited Mediterranean native bivalves.,N/A,,Table 2   First record per country including location and reference,5 km offshore,,,,the demographic profile of the fishers,the same 34 sites sampled to characterize the fish communities,,,,,Preliminary test from samples collected in 2021 (first campaign).,
s10811-024-03404-w.pdf,1,85,Félix L. Figueroa; Julia Vega; Noelia Flórez‑Fernández; José Mazón; María Dolores Torres; Herminia Domínguez; Leonel Pereira,2025,"Challenges and opportunities of the exotic invasive macroalga Rugulopteryx okamurae (Phaeophyceae, Heterokontophyta)",Journal of Applied Phycology,Spain; Portugal; France; Italy,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,80,Rugulopteryx okamurae,fisher,34,N/A,N/A,Review,Multiple site,0,N/A,2021,N/A,N/A,The invasion of Rugulopteryx okamurae along the southern European coastline is producing significant ecological and socioeconomic impacts.,N/A,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,the abundance of the signal crayfish was assessed in the same 34 sites sampled to characterize the fish communities,,,,,Preliminary test from samples collected in 2021 (first campaign).,
s11356-025-36462-9.pdf,1,85,Esperança Perelló; Samuel Pinya; Antoni Box; Antoni Sureda; Montserrat Compa,2025,Assessing heavy metal accumulation in the invasive blue crab (Callinectes sapidus): environmental and human health implications,Environmental Science and Pollution Research,Spain,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,N/A,Callinectes sapidus,fisher,83,muscle tissue,N/A,costs,multiple site,0,Hg > Pb > Cd,2021,N/A,N/A,"The study evaluates the concentrations of cadmium, lead, and mercury in the muscle tissue of the invasive blue crab, Callinectes sapidus, across several locations in the Balearic Islands.",The consumption of C. sapidus from the Balearic Islands does not currently pose a health risk to the recreational fisheries sector.,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,,,,The cost functional for agent i includes both direct and indirect costs.,,Preliminary test from samples collected in 2021 (first campaign).,
s12864-024-11202-4.pdf,1,85,Qing Li; Chuanlong Ge; Lijuan Li,2025,Quantitative DIA‑based proteomics unveils ribosomal biogenesis pathways associated with increased final size in three‑year‑old Chinese mitten crab (Eriocheir sinensis),BMC Genomics,China,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,N/A,N/A,fisher,34,N/A,N/A,costs,1,0,N/A,2021,N/A,N/A,N/A,N/A,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,the same 34 sites sampled to characterize the fish communities,,,The cost functional for agent i includes both direct and indirect costs.,The number of total cases and the percentage of cases for each service is showed in each column.,Preliminary test from samples collected in 2021 (first campaign).,
s41598-025-05789-1.pdf,1,85,Serena Zampardi; Priscilla Licandro; Giacomo Milisenda; Danilo Scannella; Stefano Piraino; Ferdinando Boero,2025,Citizen science substantiates jellyfish occurrence in the Mediterranean Sea,Scientific Reports,Italy,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,1,Mnemiopsis leidyi,fisher,6667,Citizen science records,N/A,Monitoring study,Multiple site,0,"Jellyfish sightings, density estimation",2021,N/A,N/A,"The study utilized citizen science data to monitor jellyfish occurrences along the Italian coastline, identifying species and their distribution patterns.",The study highlights the effectiveness of citizen science in marine monitoring.,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,,,,,,Preliminary test from samples collected in 2021 (first campaign).,
s42535-024-00871-x.pdf,1,85,Carmelo Maria Musarella; Saverio Sciandrello; Gianniantonio Domina,2025,Competition between alien and native species in xerothermic steno-Mediterranean grasslands: Cenchrus setaceus and Hyparrhenia hirta in Sicily and southern Italy,Vegetos,Italy,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",5000,1,N/A,N/A,fisher,30,Phytosociological relevés,N/A,Field study,Multiple site,0,Ellenberg indicator values,2021,N/A,N/A,"The study investigates the impact of Cenchrus setaceus on native grasslands dominated by Hyparrhenia hirta in Sicily and southern Italy, assessing biodiversity loss and species composition.",The study emphasizes the ecological implications of the invasion and the need for ongoing monitoring and conservation efforts.,,Table 2   First record per country including location and reference,5 km offshore,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,,,,,,Preliminary test from samples collected in 2021 (first campaign).,
sustainability-17-02435.pdf,1,85,Gema Ortega; Juan Manuel Barragán; Juan Diego Gilbert; Fernando Ortega; Francisco Guerrero,2025,"Economic Loss and Ecosystem Service Decline in Mediterranean Ponds (Andalusia, Spain): The Impact of Olive Groves over the Last 20 Years",Sustainability,Spain,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,N/A,N/A,fisher,34,N/A,N/A,costs,1,0,N/A,2022,EUR/ha,26081.97,"This study investigates the economic losses resulting from anthropogenic environmental impacts on wetlands in the Alto Guadalquivir region (Jaén, southeastern Spain) between 1997–2003 and 2022, specifically focusing on the devaluation of ecosystem services.",N/A,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,the same 34 sites sampled to characterize the fish communities,,,The cost functional for agent i includes both direct and indirect costs.,multiple sites,,
we-25-137-2025.pdf,1,85,Robbie Weterings; Zhixin Zhang; Tomas O. Cornwell,2025,The effects of climate change on European distributions of four alien marine crab species,Web Ecol.,Netherlands; China,"41.284,2.069 | 51.445,0.371 | -42.884,147.334 | 53.999,11.442 | 55.162,-6.758 | 56.376,-3.353 | 53.907,14.258 | 50.992,2.402 | 52.380,4.914 | 56.549,10.235 | 55.699,21.126 | 54.647,19.904 | 51.733,-4.327 | 57.726,18.813 | 49.179,-2.116 | 60.091,19.929 | 51.231,4.395 | 57.021,23.967 | 59.982,23.432 | 46.537,32.410 | 44.947,28.859 | 58.184,8.031 | 43.797,7.600",N/A,1,4,Hemigrapsus sanguineus; Charybdis longicollis; Matuta victor; Portunus segnis,fisher,34,N/A,N/A,costs,1,0,N/A,2021,N/A,N/A,The study aims to predict the current and potential future distribution of four alien marine crab species under various climate scenarios in European waters using ensemble species distribution models.,N/A,,Table 2   First record per country including location and reference,,the regulatory framework of the Sinis Marine Protected Area (MPA) has been progressively strengthened,,,the demographic profile of the fishers,the abundance of the signal crayfish was assessed in the same 34 sites sampled to characterize the fish communities,,,The cost functional for agent i includes both direct and indirect costs.,multiple sites,Preliminary test from samples collected in 2021 (first campaign).,
